x,y
0,10.0
1,5.0
2,0.0
3,-5.0
4,-10.0
5,-15.0
6,-20.0
7,-25.0
8,-30.0
9,-35.0
10,-40.0
11,-45.0
12,-50.0
13,-55.0
14,-60.0
15,-65.0
16,-70.0
17,-75.0
18,-80.0
19,-85.0
20,-90.0
21,-95.0
22,-100.0
23,-105.0
24,-110.0
25,-115.0
26,-120.0
27,-125.0
28,-130.0
29,-135.0
30,-140.0
31,-145.0
32,-150.0
33,-155.0
34,-160.0
35,-165.0
36,-170.0
37,-175.0
38,-180.0
39,-185.0
40,-190.0
41,-195.0
42,-200.0
43,-205.0
44,-210.0
45,-215.0
46,-220.0
47,-225.0
48,-230.0
49,-235.0
50,-240.0
51,-245.0
52,-250.0
53,-255.0
54,-260.0
55,-265.0
56,-270.0
57,-275.0
58,-280.0
59,-285.0
60,-290.0
61,-295.0
62,-300.0
63,-305.0
64,-310.0
65,-315.0
66,-320.0
67,-325.0
68,-330.0
69,-335.0
70,-340.0
71,-345.0
72,-350.0
73,-355.0
74,-360.0
75,-365.0
76,-370.0
77,-375.0
78,-380.0
79,-385.0
80,-390.0
81,-395.0
82,-400.0
83,-405.0
84,-410.0
85,-415.0
86,-420.0
87,-425.0
88,-430.0
89,-435.0
90,-440.0
91,-445.0
92,-450.0
93,-455.0
94,-460.0
95,-465.0
96,-470.0
97,-475.0
98,-480.0
99,-485.0
